countryCode,state,min_lat,min_lng,max_lat,max_lng
NOR,Agder,57.735,6.334,59.083,8.764
NOR,Innlandet,60.586,8.355,62.574,12.705
NOR,Møre og Romsdal,62.566,5.197,63.865,9.298
NOR,Nordland,65.034,11.432,69.313,18.97
NOR,Oslo,59.809,10.489,60.135,10.951
NOR,Rogaland,58.321,4.585,59.685,6.929
NOR,Vestfold og Telemark,58.823,8.508,60.005,10.488
NOR,Troms og Finnmark,68.554,15.301,71.385,31.293
NOR,Trøndelag,62.629,9.932,65.37,12.64
NOR,Vestland,59.601,4.761,62.196,7.957
NOR,Viken,59.301,10.036,60.655,12.436
USA,Alabama,30.223334,-88.473227,35.008028,-84.88908
USA,Alaska,51.214183,-179.148909,71.365162,179.77847
USA,American Samoa,-14.548699,-171.089874,-11.046934,-168.1433
USA,Arizona,31.332177,-114.81651,37.00426,-109.045223
USA,Arkansas,33.004106,-94.617919,36.4996,-89.644395
USA,California,32.534156,-124.409591,42.009518,-114.131211
USA,Colorado,36.992426,-109.060253,41.003444,-102.041524
USA,Connecticut,40.980144,-73.727775,42.050587,-71.786994
USA,Delaware,38.451013,-75.788658,39.839007,-75.048939
USA,District of Columbia,38.791645,-77.119759,38.99511,-76.909395
USA,Florida,24.523096,-87.634938,31.000888,-80.031362
USA,Georgia,30.357851,-85.605165,35.000659,-80.839729
USA,Guam,13.234189,144.618068,13.654383,144.956712
USA,Hawaii,18.910361,-178.334698,28.402123,-154.806773
USA,Idaho,41.988057,-117.243027,49.001146,-111.043564
USA,Illinois,36.970298,-91.513079,42.508481,-87.494756
USA,Indiana,37.771742,-88.09776,41.760592,-84.784579
USA,Iowa,40.375501,-96.639704,43.501196,-90.140061
USA,Kansas,36.993016,-102.051744,40.003162,-94.588413
USA,Kentucky,36.497129,-89.571509,39.147458,-81.964971
USA,Louisiana,28.928609,-94.043147,33.019457,-88.817017
USA,Maine,42.977764,-71.083924,47.459686,-66.949895
USA,Maryland,37.911717,-79.487651,39.723043,-75.048939
USA,Massachusetts,41.237964,-73.508142,42.886589,-69.928393
USA,Michigan,41.696118,-90.418136,48.2388,-82.413474
USA,Minnesota,43.499356,-97.239209,49.384358,-89.491739
USA,Mississippi,30.173943,-91.655009,34.996052,-88.097888
USA,Missouri,35.995683,-95.774704,40.61364,-89.098843
USA,Montana,44.358221,-116.050003,49.00139,-104.039138
USA,Nebraska,39.999998,-104.053514,43.001708,-95.30829
USA,Nevada,35.001857,-120.005746,42.002207,-114.039648
USA,New Hampshire,42.69699,-72.557247,45.305476,-70.610621
USA,New Jersey,38.928519,-75.559614,41.357423,-73.893979
USA,New Mexico,31.332301,-109.050173,37.000232,-103.001964
USA,New York,40.496103,-79.762152,45.01585,-71.856214
USA,North Carolina,33.842316,-84.321869,36.588117,-75.460621
USA,North Dakota,45.935054,-104.0489,49.000574,-96.554507
USA,Ohio,38.403202,-84.820159,41.977523,-80.518693
USA,Oklahoma,33.615833,-103.002565,37.002206,-94.430662
USA,Oregon,41.991794,-124.566244,46.292035,-116.463504
USA,Pennsylvania,39.7198,-80.519891,42.26986,-74.689516
USA,Puerto Rico,17.88328,-67.945404,18.515683,-65.220703
USA,Rhode Island,41.146339,-71.862772,42.018798,-71.12057
USA,South Carolina,32.0346,-83.35391,35.215402,-78.54203
USA,South Dakota,42.479635,-104.057698,45.94545,-96.436589
USA,Tennessee,34.982972,-90.310298,36.678118,-81.6469
USA,Texas,25.837377,-106.645646,36.500704,-93.508292
USA,United States Virgin Islands,17.673976,-65.085452,18.412655,-64.564907
USA,Utah,36.997968,-114.052962,42.001567,-109.041058
USA,Vermont,42.726853,-73.43774,45.016659,-71.464555
USA,Virginia,36.540738,-83.675395,39.466012,-75.242266
USA,Washington,45.543541,-124.763068,49.002494,-116.915989
USA,West Virginia,37.201483,-82.644739,40.638801,-77.719519
USA,Wisconsin,42.491983,-92.888114,47.080621,-86.805415
USA,Wyoming,40.994746,-111.056888,45.005904,-104.05216
GBR,England,49.96,-7.5722,55.8117,1.6815
GBR,Scotland,54.6333,-7.5722,60.85,-0.75
GBR,Wales,51.38,-5.35,53.43,-2.68
GBR,Northern Ireland,54.055,-8.13,55.43,-5.43
DEU,Baden-Württemberg,47.5338,7.5114,49.7914,10.4918
DEU,Bavaria,47.2701,8.9767,50.5647,13.839
DEU,Berlin,52.3383,13.0884,52.6755,13.7611
DEU,Brandenburg,51.359,11.2682,53.5583,14.7617
DEU,Bremen,53.011,8.5611,53.6027,9.0143
DEU,Hamburg,53.395,9.732,53.964,10.325
DEU,Hesse,49.3987,7.8351,51.6577,10.2369
DEU,Lower Saxony,51.2956,6.662,53.8917,11.5983
DEU,Mecklenburg-Vorpommern,53.0642,10.6875,54.473,14.431
DEU,North Rhine-Westphalia,50.3221,5.8663,52.5311,9.4616
DEU,Rhineland-Palatinate,49.0414,6.1171,50.853,8.5317
DEU,Saarland,49.1064,6.3476,49.6431,7.3825
DEU,Saxony,50.1674,11.8762,51.6833,15.0418
DEU,Saxony-Anhalt,50.7237,10.568,52.9694,13.1056
DEU,Schleswig-Holstein,53.3717,8.7822,55.0992,11.9563
DEU,Thuringia,50.2493,9.8762,51.634,12.6535
